fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKW,ETHQ/U,3IQ ETHER STAKING ETF,2026-09-24,2026-09-25,812175,812175,0,0.43,0.43,0.0,0.0,1.0,38,0.0,Flow/Noise
ARKW,FIG,FIGMA INC-CL A,2026-09-24,2026-09-25,811507,811507,0,0.9,0.88,-0.020000000000000018,0.0,1.0,38,0.0,Flow/Noise
ARKW,GENI,GENIUS SPORTS LTD,2026-09-24,2026-09-25,2459924,2459924,0,0.77,0.72,-0.050000000000000044,0.0,1.0,38,0.0,Flow/Noise
ARKW,GOOG,ALPHABET INC-CL C,2026-09-24,2026-09-25,186272,186272,0,3.18,3.19,0.009999999999999787,0.0,1.0,38,0.0,Flow/Noise
ARKW,GTLB,GITLAB INC-CL A,2026-09-24,2026-09-25,639569,639569,0,1.6,1.57,-0.030000000000000027,0.0,1.0,38,0.0,Flow/Noise
ARKW,HOOD,ROBINHOOD MARKETS INC - A,2026-09-24,2026-09-25,811109,811109,0,5.07,4.96,-0.11000000000000032,0.0,1.0,38,0.0,Flow/Noise
ARKW,MELI,MERCADOLIBRE INC,2026-09-24,2026-09-25,11275,11275,0,1.03,1.0,-0.030000000000000027,0.0,1.0,38,0.0,Flow/Noise
ARKW,META,META PLATFORMS INC-CLASS A,2026-09-24,2026-09-25,112460,112460,0,4.26,4.42,0.16000000000000014,0.0,1.0,38,0.0,Flow/Noise
ARKW,NET,CLOUDFLARE INC - CLASS A,2026-09-24,2026-09-25,128351,128351,0,2.3,2.33,0.03000000000000025,0.0,1.0,38,0.0,Flow/Noise
ARKW,NFLX,NETFLIX INC,2026-09-24,2026-09-25,270883,270883,0,0.99,0.98,-0.010000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,NVDA,NVIDIA CORP,2026-09-24,2026-09-25,288308,288308,0,3.31,3.28,-0.03000000000000025,0.0,1.0,38,0.0,Flow/Noise
ARKW,P,EVERPURE INC-A,2026-09-24,2026-09-25,256355,256355,0,1.43,1.58,0.15000000000000013,0.0,1.0,38,0.0,Flow/Noise
ARKW,PLTR,PALANTIR TECHNOLOGIES INC-A,2026-09-24,2026-09-25,278960,278960,0,2.73,2.72,-0.009999999999999787,0.0,1.0,38,0.0,Flow/Noise
ARKW,RBLX,ROBLOX CORP -CLASS A,2026-09-24,2026-09-25,842434,842434,0,2.1,2.08,-0.020000000000000018,0.0,1.0,38,0.0,Flow/Noise
ARKW,RBRK,RUBRIK INC-A,2026-09-24,2026-09-25,337046,337046,0,1.99,1.94,-0.050000000000000044,0.0,1.0,38,0.0,Flow/Noise
ARKW,SHOP,SHOPIFY INC - CLASS A,2026-09-24,2026-09-25,526066,526066,0,3.82,3.86,0.040000000000000036,0.0,1.0,38,0.0,Flow/Noise
ARKW,SNOW,SNOWFLAKE INC,2026-09-24,2026-09-25,55719,55719,0,0.95,0.94,-0.010000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,SOLQ/U,3IQ SOLANA STAKING ETF,2026-09-24,2026-09-25,512114,512114,0,0.24,0.25,0.010000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,SPCX,SPACE EXPLORATION TECHN-CL A,2026-09-24,2026-09-25,571480,571480,0,4.32,4.28,-0.040000000000000036,0.0,1.0,38,0.0,Flow/Noise
ARKW,SPOT,SPOTIFY TECHNOLOGY SA,2026-09-24,2026-09-25,42035,42035,0,1.09,1.09,0.0,0.0,1.0,38,0.0,Flow/Noise
